names	vc	vc1-9
http___edizionidelfoglioclandestino.it.png	-0.0727098333887158	4.98880814634827
http___las.ups.urbe.it.png	-0.533320322805142	4.31025660104503
http___www.addaeditore.it.png	0.57960449791093	5.94976953931961
http___www.adeaedizioni.it.png	-0.42558241492681	4.46897144918321
http___www.adelphi.it.png	-0.701644910010915	4.06228806497085
http___www.albertilibraio.it.png	-0.412697182410168	4.48795341906157
http___www.alcyone.it.png	-0.17653485458095	4.83585759443967
http___www.alinari.it.png	-0.610962914558489	4.19587687712183
http___www.alphatest.it.png	-0.0126500642035141	5.07728561294441
http___www.ancora-libri.it.png	-0.0904014321118982	4.96274564467205
http___www.artbooks.it.png	-0.839431340202581	3.8593070272467
http___www.avaglianoeditore.it.png	-0.969050057301117	3.66835831285927
http___www.baskerville.it.png	-0.976288790778664	3.65769452230285
http___www.besaeditrice.it.png	-0.952554705157336	3.69265855556903
http___www.betagamma.it.png	-0.499841032832328	4.35957684986414
http___www.biblink.it.png	-0.30474475849707	4.64698428298798
http___www.bibliosofica.it.png	-0.207069588286899	4.79087513915984
http___www.bibliotecafrancescana.it.png	-0.61554223728107	4.18913081601109
http___www.bietti.it.png	-0.174130735154181	4.83939923969007
http___www.bluedizioni.it.png	-0.565332063483136	4.26309828267408
http___www.bollatiboringhieri.it.png	-1.24505071049426	3.26176603145859
http___www.bompiani.rcslibri.it.png	-0.220761561956694	4.7707047129421
http___www.bonomieditore.it.png	0.784780946797665	6.25202665167568
http___www.calderini.it.png	-0.0853183310408607	4.9702338503598
http___www.calzetti-mariucci.it.png	0.375599218914521	5.64923774403112
http___www.carocci.it.png	-0.0286784250727782	5.05367332167788
http___www.cdavivalda.it.png	0.36875000033189	5.6391477700506
http___www.centrodocpistoia.it.png	-0.787612098487282	3.93564490350069
http___www.cierrenet.it.png	-1.38523566942225	3.05525158444855
http___www.cittanuova.it.png	0.651259969897737	6.05532929612776
http___www.clinamen.it.png	-0.049910179384309	5.02239561518049
http___www.cliquot.it.png	-1.06005802999988	3.53428928506119
http___www.cse.it.png	0.556454242268503	5.91566557924646
http___www.danna.it.png	0.324275405558611	5.57362971150969
